대분류	중분류	소분류	상태	워크샵필요	세션	데드라인	우선순위	비고
1. 사전 진입	1.1 온보딩	스플래시 화면	미완료	X	-	-	P2	실무 완성도 작업
1. 사전 진입	1.1 온보딩	가치 제안 슬라이드 (3장)	미완료	X	-	-	P2	실무 콘텐츠 작업
1. 사전 진입	1.1 온보딩	초대 링크 진입 분기 처리	미완료	O	1차	2026-02-27	P0	UX 방향 결정 필요
1. 사전 진입	1.1 온보딩	퀵 서베이 (3문항)	미완료	O	1차	2026-02-27	P0	질문 설계 결정 필요
1. 사전 진입	1.2 계정/인증	소셜 로그인 (Apple/Google/카카오)	미완료	O	1차	2026-02-27	P0	우선순위/노출순서 결정
1. 사전 진입	1.2 계정/인증	이메일 가입	미완료	X	-	-	P2	실무 완성도 작업
1. 사전 진입	1.2 계정/인증	연락처 동기화 요청	미완료	O	1차	2026-02-27	P0	UX/권한 전략 결정
1. 사전 진입	1.2 계정/인증	퍼미션 요청 (알림/카메라/사진)	미완료	O	1차	2026-02-27	P0	Just-in-Time 전략 결정
1. 사전 진입	1.3 첫 챌린지 추천	개인화 추천 로직	미완료	O	1차	2026-02-27	P0	추천 기준 정책 결정
1. 사전 진입	1.3 첫 챌린지 추천	무료 챌린지 우선 노출	미완료	O	1차	2026-02-27	P0	노출 정책 결정
1. 사전 진입	1.3 첫 챌린지 추천	"친구와 함께" 유도 UI	미완료	O	1차	2026-02-27	P1	유도 전략 결정
2. 홈/탐색	2.1 홈탭	챌린지 추천 섹션	완료	-	-	-	-	간소화 완료
2. 홈/탐색	2.1 홈탭	개인화 추천 피드	완료	-	-	-	-	간소화 완료
2. 홈/탐색	2.1 홈탭	진행중 챌린지 빠른 접근	완료	-	-	-	-	간소화 완료
2. 홈/탐색	2.2 마켓/검색	챌린지 검색	미완료	X	-	-	P2	실무 구현 작업
2. 홈/탐색	2.2 마켓/검색	카테고리 필터	미완료	X	-	-	P2	실무 구현 작업
2. 홈/탐색	2.2 마켓/검색	정렬 옵션	미완료	X	-	-	P2	실무 구현 작업
2. 홈/탐색	2.2 마켓/검색	크리에이터 검색	미완료	X	-	-	P2	실무 구현 작업
2. 홈/탐색	2.3 챌린지 상세	챌린지 정보	완료	-	-	-	-	간소화 완료
2. 홈/탐색	2.3 챌린지 상세	일일 할 일 미리보기	완료	-	-	-	-	간소화 완료
